Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Will_vote_only_large_party_int,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,Issue_0,Issue_1,Issue_2,Issue_3,Issue_4,Issue_5,Issue_6,Issue_7
-0.6023612653854535,-0.20121189707133574,-0.5486699367459058,0.30118477298730334,-1,-0.4992330687384579,-0.09279018333021267,0,0,0,0,1,0,0,0
-1.3300264808788742,0.22150637035601428,-0.7876267160688144,0.17796367568414095,0,-0.4235519493655223,-0.23617094049333748,0,0,0,0,0,1,0,0
1.5806343810948085,1.575218610670627,0.7349937158848505,1.90847446896483,1,-0.5050674133854607,-0.0701863095626359,0,1,0,0,0,0,0,0
-1.6938590886255847,-0.40684021674386783,-0.6072156111346563,-0.8569057543382945,-1,-0.5002287217321257,0.03751528044721867,0,0,1,0,0,0,0,0
1.944466988841519,1.1255551928180674,1.4497315038107188,-1.6456855788074667,1,-1.8521251928098352,1.7628151397533263,0,1,0,0,0,0,0,0
-1.6938590886255847,-0.3543808447799713,-0.896504636127314,1.3631623633831027,-1,-0.5321442139620075,0.16565971257675463,0,0,1,0,0,0,0,0
-1.6938590886255847,-0.6983856268252702,-1.0352121898242794,-0.6384489611252877,-1,-0.7554683241987163,0.6546656971570496,0,0,1,0,0,0,0,0
-1.3300264808788742,-1.3913122931484636,0.5798808080694703,-0.9167040426876328,-1,-0.584692423559008,0.7372522970168292,0,0,1,0,0,0,0,0
0.12530395010796713,0.8921827725079601,1.6634562160791302,-0.46401253111681007,-1,-0.9152789718773813,0.595784287562511,0,0,1,0,0,0,0,0
-1.6938590886255847,-0.7739470907043843,-0.9182248457359722,-0.5420414854507967,-1,-0.6874733461009112,0.5782257016278128,0,0,1,0,0,0,0,0
0.8529691656013879,-1.1401148334579936,-2.8065292810491274,2.729262521923887,1,-1.1375587714672302,2.2680542036576767,0,1,0,0,0,0,0,0
0.4891365578546775,-0.06714151993194982,-0.523387030853585,1.1658330888841935,-1,-0.08041801903538584,-0.645477294528501,0,1,0,0,0,0,0,0
1.944466988841519,0.26668352661019956,-0.18906233167395528,-0.5815317197594309,-1,0.15910416653736928,-1.2322941699235008,0,1,0,0,0,0,0,0
