Number_of_valued_Kneset_members,Yearly_IncomeK,Overall_happiness_score,Avg_Satisfaction_with_previous_vote,Will_vote_only_large_party_int,Garden_sqr_meter_per_person_in_residancy_area,Weighted_education_rank,label,Issue_0,Issue_1,Issue_2,Issue_3,Issue_4,Issue_5,Issue_6,Issue_7
1.44643212772,0.613280939443,1.43546933768,-0.127390383756,-1,-0.741853210307,0.374738239834,Greens,0,1,0,0,0,0,0,0
0.721694114033,-0.927434791054,2.399261493,1.53664438245,1,-1.21030329823,1.79701011041,Yellows,0,0,1,0,0,0,0,0
-0.365412906503,-0.44586533576,-0.604491769636,0.249411917623,-1,0.873691564082,-0.685692047783,Whites,0,0,0,0,1,0,0,0
-0.0030438996575,-4.00759073321,-4.09458136924,1.66853485707,1,2.01307963832,4.54768148828,Blues,0,0,1,0,0,0,0,0
-0.365412906503,-0.472312446873,0.226149394105,-0.532764053953,0,0.678006232037,-0.889381719432,Reds,0,0,0,1,0,0,0,0
-0.0030438996575,1.91399550269,-2.2887053518,1.62212833686,1,2.05960413874,1.3269570396,Blues,0,0,0,0,0,0,0,1
0.359325107188,-0.306072008527,0.355992096409,-0.760572039349,-1,0.462193672332,-0.967906181373,Purples,0,0,0,0,0,0,0,1
-0.727781913348,0.321854095565,0.273244173183,0.0448687917612,-1,0.910878900648,-1.54603489437,Whites,0,0,0,0,1,0,0,0
-0.365412906503,-0.618098140337,-0.89863647784,-0.677182363152,-1,-0.530500062973,0.271458307565,Browns,1,0,0,0,0,0,0,0
1.44643212772,1.46862682772,-2.01070251111,1.54922284925,1,-0.523173615472,0.899503567673,Blues,0,1,0,0,0,0,0,0
1.08406312088,0.643247209816,1.4680182985,-1.14739810209,-1,-0.720989512361,0.3766666314,Greens,0,1,0,0,0,0,0,0
-1.45251992704,-0.592610567398,-0.731079545666,-0.146748416923,-1,-0.805679805843,0.441008195043,Browns,0,0,0,0,0,0,0,1
0.359325107188,0.316425259756,1.27008950066,-0.712169308772,-1,-0.933080062239,0.483766947684,Greens,0,0,0,0,1,0,0,0
1.44643212772,-0.135722132175,0.0759911052959,1.13053792735,-1,-0.361652818151,-0.419128456736,Purples,1,0,0,0,0,0,0,0
-1.09015092019,1.76924132632,-0.0322472906613,0.203270991348,-1,2.10782469611,0.105307171785,Pinks,0,0,1,0,0,0,0,0
-1.45251992704,0.285215874897,0.018885615564,-0.815605208977,-1,0.88965019778,-1.57950934996,Browns,0,0,1,0,0,0,0,0
1.08406312088,-0.956340387583,-1.12831013396,1.64600845864,1,1.04085674622,0.0726398007629,Yellows,0,0,0,0,1,0,0,0
-1.09015092019,-1.02038697041,-0.119420120786,-0.920742809359,0,0.583561042395,-0.355185373051,Oranges,0,0,0,0,0,1,0,0
-1.09015092019,-0.947170318002,-0.368055294227,0.964199070385,0,0.809345774344,-0.372674966538,Oranges,0,0,0,0,0,1,0,0
-0.727781913348,0.915614370423,-0.447216926605,-0.0859440288619,0,0.175195255379,-1.002799471,Greys,0,0,0,0,0,1,0,0
-1.45251992704,0.574732049829,-1.02324877666,-0.0022885126707,0,0.261538809777,-0.630847685272,Greys,0,0,0,0,0,1,0,0
-1.09015092019,0.229710901124,-0.299167402465,-0.0708635289471,-1,0.909214061205,-1.36102548874,Browns,0,0,0,0,0,0,0,1
-0.727781913348,-0.0690376175873,-0.518508391867,-1.07177875257,-1,0.52691261597,-1.00358344108,Browns,0,1,0,0,0,0,0,0
